"POP_COMP","Population Component","REGIONTYPE","Geography Level","ASGS_2016","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"8","Overseas Departures","STE","States and Territories","6","Tasmania","A","Annual","2018","2018",2304,,
"8","Overseas Departures","STE","States and Territories","6","Tasmania","A","Annual","2019","2019",2743,,
"9","Net Overseas Migration","STE","States and Territories","6","Tasmania","A","Annual","2017","2017",2344,,
"9","Net Overseas Migration","STE","States and Territories","6","Tasmania","A","Annual","2018","2018",2803,,
"9","Net Overseas Migration","STE","States and Territories","6","Tasmania","A","Annual","2019","2019",2992,,
"10","Estimated Resident Population","STE","States and Territories","6","Tasmania","A","Annual","2017","2017",522410,,
"10","Estimated Resident Population","STE","States and Territories","6","Tasmania","A","Annual","2018","2018",528298,,
"10","Estimated Resident Population","STE","States and Territories","6","Tasmania","A","Annual","2019","2019",534457,,
"1","Births","STE","States and Territories","7","Northern Territory","A","Annual","2017","2017",3940,,
"1","Births","STE","States and Territories","7","Northern Territory","A","Annual","2018","2018",3765,,
"1","Births","STE","States and Territories","7","Northern Territory","A","Annual","2019","2019",3695,,
"2","Deaths","STE","States and Territories","7","Northern Territory","A","Annual","2017","2017",1079,,
"2","Deaths","STE","States and Territories","7","Northern Territory","A","Annual","2018","2018",1151,,
"2","Deaths","STE","States and Territories","7","Northern Territory","A","Annual","2019","2019",1171,,
"3","Natural Increase","STE","States and Territories","7","Northern Territory","A","Annual","2017","2017",2861,,
"3","Natural Increase","STE","States and Territories","7","Northern Territory","A","Annual","2018","2018",2614,,
"3","Natural Increase","STE","States and Territories","7","Northern Territory","A","Annual","2019","2019",2524,,
"4","Internal Arrivals","STE","States and Territories","7","Northern Territory","A","Annual","2017","2017",14094,,
"4","Internal Arrivals","STE","States and Territories","7","Northern Territory","A","Annual","2018","2018",13856,,
"4","Internal Arrivals","STE","States and Territories","7","Northern Territory","A","Annual","2019","2019",14375,,
"5","Internal Departures","STE","States and Territories","7","Northern Territory","A","Annual","2017","2017",16961,,
"5","Internal Departures","STE","States and Territories","7","Northern Territory","A","Annual","2018","2018",17687,,
"5","Internal Departures","STE","States and Territories","7","Northern Territory","A","Annual","2019","2019",18746,,
"6","Net Internal Migration","STE","States and Territories","7","Northern Territory","A","Annual","2017","2017",-2867,,
"6","Net Internal Migration","STE","States and Territories","7","Northern Territory","A","Annual","2018","2018",-3831,,
"6","Net Internal Migration","STE","States and Territories","7","Northern Territory","A","Annual","2019","2019",-4371,,
"7","Overseas Arrivals","STE","States and Territories","7","Northern Territory","A","Annual","2017","2017",6904,,
